"fecha","Formosa","Formosa","Pilcomayo"
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,0,0,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,0,0,0
2020-05-20,1,1,0
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,0,0,0
2020-05-24,2,1,0
2020-05-25,4,2,2
2020-05-26,3,0,1
2020-05-27,3,1,1
2020-05-28,5,2,1
2020-05-29,2,1,0
2020-05-30,2,0,0
2020-05-31,3,0,2
2020-06-01,1,0,1
2020-06-02,0,0,0
2020-06-03,0,0,0
2020-06-04,3,2,1
2020-06-05,2,0,1
2020-06-06,7,4,1
2020-06-07,2,1,1
2020-06-08,3,2,1
2020-06-09,1,0,1
2020-06-10,4,3,0
2020-06-11,3,1,0
2020-06-12,0,0,0
2020-06-13,0,0,0
2020-06-14,1,1,0
2020-06-15,0,0,0
2020-06-16,1,1,0
2020-06-17,0,0,0
2020-06-18,1,1,0
2020-06-19,3,3,0
2020-06-20,5,4,1
2020-06-21,0,0,0
2020-06-22,2,2,0
2020-06-23,1,1,0
2020-06-24,5,5,0
2020-06-25,3,3,0
2020-06-26,1,1,0
2020-06-27,1,1,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,1,1,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,1,1,0
2020-07-21,1,0,1
2020-07-22,1,0,1
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,1,1,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,1,1,0
2020-08-03,0,0,0
2020-08-04,0,0,0
2020-08-05,0,0,0
2020-08-06,0,0,0
2020-08-07,0,0,0
2020-08-08,1,0,1
2020-08-09,0,0,0
2020-08-10,0,0,0
2020-08-11,0,0,0
2020-08-12,0,0,0
2020-08-13,0,0,0
2020-08-14,0,0,0
2020-08-15,0,0,0
2020-08-16,0,0,0
2020-08-17,0,0,0
2020-08-18,1,0,0
2020-08-19,0,0,0
2020-08-20,0,0,0
2020-08-21,1,1,0
2020-08-22,0,0,0
2020-08-23,1,0,1
2020-08-24,1,0,1
2020-08-25,0,0,0
2020-08-26,1,0,1
2020-08-27,0,0,0
2020-08-28,0,0,0
2020-08-29,2,1,1
2020-08-30,0,0,0
2020-08-31,3,0,3
2020-09-01,0,0,0
2020-09-02,0,0,0
2020-09-03,1,0,1
2020-09-04,0,0,0
2020-09-05,1,1,0
2020-09-06,1,0,0
2020-09-07,2,2,0
2020-09-08,0,0,0
2020-09-09,0,0,0
2020-09-10,0,0,0
2020-09-11,1,1,0
2020-09-12,4,3,0
2020-09-13,3,0,0
2020-09-14,5,1,3
2020-09-15,2,0,0
2020-09-16,2,1,1
2020-09-17,2,0,0
2020-09-18,0,0,0
2020-09-19,1,0,0
2020-09-20,1,0,1
2020-09-21,0,0,0
2020-09-22,0,0,0
2020-09-23,0,0,0
2020-09-24,1,0,1
2020-09-25,2,0,1
2020-09-26,0,0,0
2020-09-27,2,1,0
2020-09-28,0,0,0
2020-09-29,3,0,1
2020-09-30,1,1,0
2020-10-01,5,2,3
2020-10-02,2,0,1
2020-10-03,3,1,2
2020-10-04,3,1,1
2020-10-05,2,0,2
2020-10-06,2,0,2
2020-10-07,0,0,0
2020-10-08,1,0,1
2020-10-09,0,0,0
2020-10-10,1,1,0
2020-10-11,2,1,0
2020-10-12,0,0,0
2020-10-13,1,0,1
2020-10-14,0,0,0
2020-10-15,0,0,0
2020-10-16,0,0,0
2020-10-17,0,0,0
2020-10-18,0,0,0
2020-10-19,2,1,1
2020-10-20,2,1,0
2020-10-21,0,0,0
2020-10-22,2,0,1
2020-10-23,0,0,0
2020-10-24,0,0,0
2020-10-25,0,0,0
2020-10-26,4,0,3
2020-10-27,2,1,1
2020-10-28,6,2,4
2020-10-29,0,0,0
2020-10-30,1,1,0
2020-10-31,1,1,0
2020-11-01,0,0,0
2020-11-02,1,0,1
2020-11-03,0,0,0
2020-11-04,0,0,0
2020-11-05,0,0,0
2020-11-06,0,0,0
2020-11-07,0,0,0
2020-11-08,1,0,1
2020-11-09,0,0,0
2020-11-10,0,0,0
2020-11-11,2,1,1
2020-11-12,0,0,0
2020-11-13,1,1,0
2020-11-14,0,0,0
2020-11-15,3,0,2
2020-11-16,2,0,2
2020-11-17,1,0,0
2020-11-18,3,0,3
2020-11-19,0,0,0
2020-11-20,1,1,0
2020-11-21,1,0,1
2020-11-22,4,0,2
2020-11-23,0,0,0
2020-11-24,0,0,0
2020-11-25,1,1,0
2020-11-26,1,1,0
2020-11-27,7,3,3
2020-11-28,2,0,2
2020-11-29,2,1,0
2020-11-30,0,0,0
2020-12-01,0,0,0
2020-12-02,1,1,0
2020-12-03,3,1,1
2020-12-04,0,0,0
2020-12-05,0,0,0
2020-12-06,2,0,0
2020-12-07,0,0,0
2020-12-08,0,0,0
2020-12-09,1,0,0
2020-12-10,0,0,0
2020-12-11,0,0,0
2020-12-12,1,0,1
2020-12-13,2,1,1
2020-12-14,0,0,0
2020-12-15,1,1,0
2020-12-16,2,1,0
2020-12-17,2,1,1
2020-12-18,1,0,1
2020-12-19,0,0,0
2020-12-20,1,0,1
2020-12-21,2,2,0
2020-12-22,3,0,2
2020-12-23,0,0,0
2020-12-24,2,2,0
2020-12-25,0,0,0
2020-12-26,1,1,0
2020-12-27,4,2,2
2020-12-28,3,2,0
2020-12-29,3,1,0
2020-12-30,5,3,1
2020-12-31,3,3,0
2021-01-01,4,1,0
2021-01-02,10,3,4
2021-01-03,8,1,1
2021-01-04,31,5,4
2021-01-05,25,5,2
2021-01-06,45,7,3
2021-01-07,48,11,7
2021-01-08,67,16,10
2021-01-09,73,16,13
2021-01-10,62,19,5
2021-01-11,63,19,9
2021-01-12,52,23,12
2021-01-13,48,22,7
2021-01-14,40,20,6
2021-01-15,25,17,1
2021-01-16,28,17,7
2021-01-17,28,14,6
2021-01-18,29,14,7
2021-01-19,33,18,8
2021-01-20,15,9,3
2021-01-21,18,5,8
2021-01-22,14,4,7
2021-01-23,11,7,3
2021-01-24,11,5,3
2021-01-25,11,5,1
2021-01-26,3,0,2
2021-01-27,4,0,1
2021-01-28,4,1,0
2021-01-29,2,1,1
2021-01-30,3,2,0
2021-01-31,10,3,6
2021-02-01,4,2,2
2021-02-02,5,2,2
2021-02-03,12,4,4
2021-02-04,18,5,8
2021-02-05,31,7,19
2021-02-06,17,9,5
2021-02-07,29,8,17
2021-02-08,34,13,14
2021-02-09,29,8,14
2021-02-10,41,18,18
2021-02-11,30,10,16
2021-02-12,27,14,8
2021-02-13,24,11,8
2021-02-14,29,10,10
2021-02-15,27,8,16
2021-02-16,24,12,11
2021-02-17,16,5,9
2021-02-18,26,11,12
2021-02-19,30,13,13
2021-02-20,23,11,8
2021-02-21,30,15,8
2021-02-22,23,11,9
2021-02-23,20,12,5
2021-02-24,22,13,7
2021-02-25,22,15,6
2021-02-26,22,17,4
2021-02-27,22,11,7
2021-02-28,17,12,1
2021-03-01,26,15,8
2021-03-02,20,14,4
2021-03-03,38,20,8
2021-03-04,21,8,4
2021-03-05,29,16,7
2021-03-06,30,14,5
2021-03-07,32,11,11
2021-03-08,35,18,6
2021-03-09,44,20,13
2021-03-10,44,15,18
2021-03-11,32,13,10
2021-03-12,40,20,11
2021-03-13,37,20,11
2021-03-14,29,15,8
2021-03-15,113,37,56
2021-03-16,34,16,14
2021-03-17,58,29,12
2021-03-18,37,15,18
2021-03-19,43,21,13
2021-03-20,32,13,8
2021-03-21,59,32,22
2021-03-22,77,35,30
2021-03-23,94,44,40
2021-03-24,86,47,29
2021-03-25,98,41,42
2021-03-26,58,24,27
2021-03-27,81,40,35
2021-03-28,38,19,17
2021-03-29,57,33,18
2021-03-30,44,21,19
2021-03-31,33,22,7
2021-04-01,62,22,30
2021-04-02,68,35,21
2021-04-03,73,50,11
2021-04-04,109,65,32
2021-04-05,104,48,48
2021-04-06,86,48,29
2021-04-07,67,34,23
2021-04-08,93,52,32
2021-04-09,64,38,16
2021-04-10,80,46,22
2021-04-11,78,36,27
2021-04-12,72,46,14
2021-04-13,79,45,22
2021-04-14,76,37,15
2021-04-15,68,43,11
2021-04-16,86,47,15
2021-04-17,85,52,17
2021-04-18,103,58,21
2021-04-19,75,42,18
2021-04-20,78,28,33
2021-04-21,200,154,25
2021-04-22,52,31,11
2021-04-23,51,28,9
2021-04-24,42,24,11
2021-04-25,55,30,13
2021-04-26,69,41,20
2021-04-27,108,79,17
2021-04-28,134,84,26
2021-04-29,160,96,34
2021-04-30,191,133,30
2021-05-01,197,136,37
2021-05-02,208,154,34
2021-05-03,253,168,42
2021-05-04,243,159,48
2021-05-05,205,143,35
2021-05-06,260,166,43
2021-05-07,264,175,40
2021-05-08,688,449,108
2021-05-09,1073,734,136
2021-05-10,1380,961,160
2021-05-11,1682,1198,191
2021-05-12,1745,1263,158
2021-05-13,1899,1375,211
2021-05-14,1990,1433,210
2021-05-15,1972,1388,209
2021-05-16,1710,1224,141
2021-05-17,1410,1040,105
2021-05-18,1109,784,117
2021-05-19,951,624,129
2021-05-20,915,600,110
2021-05-21,873,603,82
2021-05-22,827,568,88
2021-05-23,871,596,103
2021-05-24,876,605,96
2021-05-25,907,629,101
2021-05-26,854,575,70
2021-05-27,844,586,66
2021-05-28,790,541,69
2021-05-29,706,493,70
2021-05-30,747,527,72
2021-05-31,649,437,49
2021-06-01,612,444,40
2021-06-02,503,334,42
2021-06-03,470,319,43
2021-06-04,370,240,37
2021-06-05,424,274,57
2021-06-06,414,251,44
2021-06-07,433,261,48
2021-06-08,390,241,39
2021-06-09,437,251,41
2021-06-10,502,274,42
2021-06-11,538,292,48
2021-06-12,558,316,62
2021-06-13,425,268,18
2021-06-14,458,275,38
2021-06-15,439,267,31
2021-06-16,450,246,33
2021-06-17,455,234,35
2021-06-18,432,223,42
2021-06-19,407,186,26
2021-06-20,419,196,31
2021-06-21,417,190,32
2021-06-22,392,171,32
2021-06-23,432,180,39
2021-06-24,406,148,40
2021-06-25,401,149,36
2021-06-26,361,124,40
2021-06-27,342,119,29
2021-06-28,408,164,39
2021-06-29,403,144,37
2021-06-30,423,138,45
2021-07-01,398,136,35
2021-07-02,413,126,48
2021-07-03,403,111,48
2021-07-04,411,131,48
2021-07-05,417,120,44
2021-07-06,426,122,46
2021-07-07,405,123,38
2021-07-08,385,127,34
2021-07-09,373,123,35
2021-07-10,341,105,36
2021-07-11,329,100,30
2021-07-12,324,104,35
2021-07-13,275,81,27
2021-07-14,271,94,27
2021-07-15,285,94,19
2021-07-16,239,73,25
2021-07-17,239,79,19
2021-07-18,255,84,19
2021-07-19,265,86,26
2021-07-20,256,57,35
2021-07-21,261,82,20
2021-07-22,281,88,20
2021-07-23,218,62,17
2021-07-24,206,56,26
2021-07-25,218,56,16
2021-07-26,253,81,26
2021-07-27,232,68,17
2021-07-28,222,80,10
2021-07-29,207,64,13
2021-07-30,231,77,16
2021-07-31,198,65,18
2021-08-01,233,84,17
2021-08-02,230,86,12
2021-08-03,219,69,15
2021-08-04,209,71,10
2021-08-05,193,60,6
2021-08-06,179,52,7
2021-08-07,181,57,2
2021-08-08,156,61,5
2021-08-09,141,50,9
2021-08-10,133,39,4
2021-08-11,138,50,7
2021-08-12,146,53,6
2021-08-13,129,50,4
2021-08-14,116,39,9
2021-08-15,130,37,5
2021-08-16,114,43,5
2021-08-17,119,38,4
2021-08-18,152,50,4
2021-08-19,123,39,6
2021-08-20,92,32,0
2021-08-21,101,36,6
2021-08-22,89,36,0
2021-08-23,84,26,2
2021-08-24,71,30,3
2021-08-25,73,30,1
2021-08-26,68,24,4
2021-08-27,60,24,6
2021-08-28,54,24,3
2021-08-29,55,23,5
2021-08-30,47,19,0
2021-08-31,38,17,0
2021-09-01,19,9,1
2021-09-02,22,7,1
2021-09-03,15,6,0
2021-09-04,12,2,0
2021-09-05,7,5,0
2021-09-06,12,8,1
