"fecha","La Pampa","Capital","Maracó"
2020-06-14,0,0,0
2020-06-15,0,0,0
2020-06-16,0,0,0
2020-06-17,0,0,0
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,1,0,0
2020-06-21,1,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,1,1,0
2020-06-26,0,0,0
2020-06-27,1,1,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,1,0,0
2020-07-06,1,1,0
2020-07-07,2,0,0
2020-07-08,2,1,0
2020-07-09,1,0,1
2020-07-10,1,1,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,2,0,0
2020-07-14,0,0,0
2020-07-15,2,0,0
2020-07-16,0,0,0
2020-07-17,1,0,0
2020-07-18,3,0,0
2020-07-19,9,1,0
2020-07-20,3,0,0
2020-07-21,9,2,1
2020-07-22,8,0,0
2020-07-23,12,2,1
2020-07-24,17,5,1
2020-07-25,11,3,1
2020-07-26,11,3,0
2020-07-27,8,1,4
2020-07-28,16,7,1
2020-07-29,23,11,1
2020-07-30,23,13,3
2020-07-31,7,0,6
2020-08-01,1,0,1
2020-08-02,6,3,2
2020-08-03,1,0,0
2020-08-04,2,0,2
2020-08-05,0,0,0
2020-08-06,5,1,1
2020-08-07,0,0,0
2020-08-08,1,1,0
2020-08-09,0,0,0
2020-08-10,4,2,2
2020-08-11,0,0,0
2020-08-12,1,1,0
2020-08-13,4,2,1
2020-08-14,0,0,0
2020-08-15,2,1,1
2020-08-16,1,0,0
2020-08-17,1,0,0
2020-08-18,3,2,0
2020-08-19,2,0,0
2020-08-20,2,0,2
2020-08-21,2,0,1
2020-08-22,0,0,0
2020-08-23,5,2,3
2020-08-24,3,0,1
2020-08-25,2,0,0
2020-08-26,2,1,0
2020-08-27,8,1,3
2020-08-28,7,1,1
2020-08-29,2,1,0
2020-08-30,5,0,1
2020-08-31,5,0,1
2020-09-01,6,1,0
2020-09-02,7,1,2
2020-09-03,13,2,2
2020-09-04,17,4,0
2020-09-05,16,2,0
2020-09-06,22,3,1
2020-09-07,44,4,2
2020-09-08,32,0,2
2020-09-09,45,3,5
2020-09-10,33,3,0
2020-09-11,34,2,3
2020-09-12,32,5,2
2020-09-13,15,1,1
2020-09-14,21,3,0
2020-09-15,20,3,3
2020-09-16,13,1,2
2020-09-17,19,1,2
2020-09-18,15,6,2
2020-09-19,26,6,3
2020-09-20,33,10,1
2020-09-21,20,5,2
2020-09-22,20,4,4
2020-09-23,21,7,4
2020-09-24,19,3,6
2020-09-25,21,3,3
2020-09-26,13,0,2
2020-09-27,25,5,8
2020-09-28,23,6,6
2020-09-29,18,2,4
2020-09-30,27,10,6
2020-10-01,33,10,8
2020-10-02,22,7,9
2020-10-03,30,14,4
2020-10-04,23,5,3
2020-10-05,38,14,12
2020-10-06,49,17,13
2020-10-07,48,14,17
2020-10-08,62,34,14
2020-10-09,75,42,16
2020-10-10,72,37,14
2020-10-11,85,28,22
2020-10-12,86,45,24
2020-10-13,124,74,22
2020-10-14,136,81,32
2020-10-15,147,78,36
2020-10-16,124,69,24
2020-10-17,118,61,31
2020-10-18,132,80,29
2020-10-19,149,69,51
2020-10-20,126,67,33
2020-10-21,133,59,29
2020-10-22,128,56,34
2020-10-23,115,61,21
2020-10-24,133,85,15
2020-10-25,115,56,25
2020-10-26,143,66,27
2020-10-27,106,51,17
2020-10-28,104,49,20
2020-10-29,120,48,17
2020-10-30,88,56,9
2020-10-31,90,29,13
2020-11-01,94,37,18
2020-11-02,108,45,13
2020-11-03,104,52,22
2020-11-04,86,49,15
2020-11-05,81,37,13
2020-11-06,100,48,11
2020-11-07,73,29,13
2020-11-08,95,43,22
2020-11-09,100,42,23
2020-11-10,94,32,16
2020-11-11,79,33,18
2020-11-12,64,35,9
2020-11-13,61,30,12
2020-11-14,75,42,11
2020-11-15,60,23,17
2020-11-16,87,28,14
2020-11-17,68,24,14
2020-11-18,90,25,12
2020-11-19,64,19,14
2020-11-20,95,32,12
2020-11-21,66,24,6
2020-11-22,64,23,10
2020-11-23,83,28,4
2020-11-24,94,34,7
2020-11-25,80,39,11
2020-11-26,77,30,9
2020-11-27,76,31,10
2020-11-28,69,25,12
2020-11-29,68,18,17
2020-11-30,97,35,23
2020-12-01,75,31,17
2020-12-02,79,36,12
2020-12-03,82,30,20
2020-12-04,57,17,12
2020-12-05,78,36,12
2020-12-06,102,48,18
2020-12-07,108,53,28
2020-12-08,134,61,17
2020-12-09,144,65,15
2020-12-10,165,63,31
2020-12-11,159,76,25
2020-12-12,193,87,25
2020-12-13,170,72,21
2020-12-14,218,95,30
2020-12-15,221,100,42
2020-12-16,226,87,34
2020-12-17,199,88,27
2020-12-18,211,77,36
2020-12-19,216,74,51
2020-12-20,263,104,57
2020-12-21,249,90,55
2020-12-22,289,83,75
2020-12-23,261,108,40
2020-12-24,212,80,39
2020-12-25,270,105,58
2020-12-26,305,131,68
2020-12-27,288,113,59
2020-12-28,351,145,67
2020-12-29,257,101,41
2020-12-30,226,87,32
2020-12-31,257,97,52
2021-01-01,255,88,47
2021-01-02,304,98,61
2021-01-03,323,112,54
2021-01-04,388,132,64
2021-01-05,281,111,40
2021-01-06,277,90,57
2021-01-07,213,66,43
2021-01-08,183,79,23
2021-01-09,187,55,32
2021-01-10,188,66,33
2021-01-11,212,81,34
2021-01-12,161,59,36
2021-01-13,154,67,17
2021-01-14,152,46,32
2021-01-15,126,49,8
2021-01-16,125,47,16
2021-01-17,102,40,18
2021-01-18,122,42,21
2021-01-19,115,49,16
2021-01-20,113,37,19
2021-01-21,90,25,17
2021-01-22,81,28,15
2021-01-23,97,48,14
2021-01-24,74,23,14
2021-01-25,85,33,15
2021-01-26,90,39,9
2021-01-27,56,19,11
2021-01-28,60,23,8
2021-01-29,83,30,8
2021-01-30,74,21,17
2021-01-31,78,26,17
2021-02-01,85,29,17
2021-02-02,79,22,14
2021-02-03,89,29,13
2021-02-04,65,16,12
2021-02-05,74,14,16
2021-02-06,66,17,14
2021-02-07,82,28,14
2021-02-08,103,23,20
2021-02-09,78,22,20
2021-02-10,68,16,11
2021-02-11,69,20,14
2021-02-12,68,20,14
2021-02-13,58,10,7
2021-02-14,60,14,16
2021-02-15,89,39,18
2021-02-16,80,12,16
2021-02-17,86,14,22
2021-02-18,86,14,24
2021-02-19,68,10,21
2021-02-20,74,18,15
2021-02-21,73,29,9
2021-02-22,122,28,37
2021-02-23,92,27,24
2021-02-24,96,25,25
2021-02-25,81,20,20
2021-02-26,87,27,26
2021-02-27,91,20,23
2021-02-28,98,27,23
2021-03-01,109,42,27
2021-03-02,105,33,27
2021-03-03,93,23,20
2021-03-04,78,17,14
2021-03-05,86,28,14
2021-03-06,87,20,21
2021-03-07,89,38,19
2021-03-08,84,29,17
2021-03-09,79,31,12
2021-03-10,82,30,16
2021-03-11,64,21,8
2021-03-12,88,21,19
2021-03-13,64,21,16
2021-03-14,64,28,10
2021-03-15,89,38,14
2021-03-16,61,20,15
2021-03-17,69,25,15
2021-03-18,63,20,22
2021-03-19,55,16,13
2021-03-20,93,29,27
2021-03-21,82,31,11
2021-03-22,85,18,26
2021-03-23,102,33,23
2021-03-24,92,29,33
2021-03-25,90,31,24
2021-03-26,68,23,15
2021-03-27,77,24,26
2021-03-28,86,35,23
2021-03-29,139,53,29
2021-03-30,116,37,33
2021-03-31,181,72,35
2021-04-01,160,51,44
2021-04-02,172,55,32
2021-04-03,197,69,42
2021-04-04,230,72,52
2021-04-05,265,95,54
2021-04-06,218,70,51
2021-04-07,200,67,43
2021-04-08,181,59,39
2021-04-09,158,70,39
2021-04-10,191,87,44
2021-04-11,153,49,48
2021-04-12,256,90,63
2021-04-13,266,95,60
2021-04-14,231,71,59
2021-04-15,218,65,57
2021-04-16,219,77,58
2021-04-17,222,85,48
2021-04-18,239,80,52
2021-04-19,263,76,68
2021-04-20,325,106,79
2021-04-21,278,90,64
2021-04-22,256,86,70
2021-04-23,258,58,74
2021-04-24,284,84,69
2021-04-25,321,97,81
2021-04-26,380,108,93
2021-04-27,350,98,102
2021-04-28,378,121,93
2021-04-29,341,93,77
2021-04-30,367,122,76
2021-05-01,371,125,77
2021-05-02,377,120,68
2021-05-03,504,173,127
2021-05-04,420,132,93
2021-05-05,486,175,112
2021-05-06,467,168,112
2021-05-07,551,197,118
2021-05-08,465,149,114
2021-05-09,524,167,133
2021-05-10,720,258,178
2021-05-11,613,223,134
2021-05-12,687,231,138
2021-05-13,674,233,149
2021-05-14,725,265,143
2021-05-15,750,289,185
2021-05-16,730,273,125
2021-05-17,782,289,155
2021-05-18,766,317,137
2021-05-19,715,299,106
2021-05-20,703,288,98
2021-05-21,604,268,77
2021-05-22,568,219,102
2021-05-23,495,174,105
2021-05-24,600,237,92
2021-05-25,507,175,97
2021-05-26,497,192,80
2021-05-27,451,171,76
2021-05-28,387,155,59
2021-05-29,395,146,71
2021-05-30,423,159,73
2021-05-31,403,148,69
2021-06-01,374,127,60
2021-06-02,338,110,64
2021-06-03,280,97,57
2021-06-04,266,84,55
2021-06-05,283,120,49
2021-06-06,291,96,50
2021-06-07,271,89,51
2021-06-08,295,83,54
2021-06-09,264,109,45
2021-06-10,255,88,45
2021-06-11,259,103,40
2021-06-12,248,82,49
2021-06-13,279,100,40
2021-06-14,281,94,50
2021-06-15,254,85,36
2021-06-16,236,88,40
2021-06-17,221,75,38
2021-06-18,218,85,33
2021-06-19,224,79,50
2021-06-20,274,97,44
2021-06-21,287,97,51
2021-06-22,285,93,65
2021-06-23,300,101,62
2021-06-24,278,92,51
2021-06-25,251,77,45
2021-06-26,238,85,45
2021-06-27,250,104,35
2021-06-28,288,118,54
2021-06-29,277,72,64
2021-06-30,265,87,57
2021-07-01,290,92,43
2021-07-02,239,93,44
2021-07-03,273,99,32
2021-07-04,267,91,40
2021-07-05,304,113,44
2021-07-06,275,95,34
2021-07-07,278,89,47
2021-07-08,267,100,43
2021-07-09,234,89,36
2021-07-10,246,89,35
2021-07-11,284,93,48
2021-07-12,246,66,39
2021-07-13,260,89,49
2021-07-14,291,93,52
2021-07-15,271,88,55
2021-07-16,280,110,41
2021-07-17,252,76,54
2021-07-18,291,75,71
2021-07-19,305,94,61
2021-07-20,311,92,72
2021-07-21,245,77,45
2021-07-22,264,79,62
2021-07-23,223,68,40
2021-07-24,266,84,55
2021-07-25,287,78,57
2021-07-26,305,91,74
2021-07-27,275,89,43
2021-07-28,244,62,27
2021-07-29,231,57,39
2021-07-30,216,54,42
2021-07-31,267,75,55
2021-08-01,249,89,36
2021-08-02,319,86,40
2021-08-03,219,54,32
2021-08-04,219,74,39
2021-08-05,207,58,38
2021-08-06,196,54,37
2021-08-07,154,57,33
2021-08-08,217,72,40
2021-08-09,223,64,49
2021-08-10,158,57,30
2021-08-11,172,62,30
2021-08-12,150,44,29
2021-08-13,123,41,22
2021-08-14,125,40,33
2021-08-15,154,49,29
2021-08-16,149,47,26
2021-08-17,149,39,31
2021-08-18,125,31,23
2021-08-19,98,24,9
2021-08-20,111,37,15
2021-08-21,79,23,13
2021-08-22,89,27,12
2021-08-23,91,29,12
2021-08-24,87,29,17
2021-08-25,69,19,11
2021-08-26,55,11,13
2021-08-27,46,7,11
2021-08-28,50,16,9
2021-08-29,49,9,13
2021-08-30,65,17,14
2021-08-31,55,15,9
2021-09-01,32,9,6
2021-09-02,39,19,5
2021-09-03,35,7,10
2021-09-04,29,10,1
2021-09-05,26,9,7
2021-09-06,33,4,8
2021-09-07,34,10,6
2021-09-08,28,11,7
2021-09-09,25,6,4
2021-09-10,33,12,2
2021-09-11,20,5,4
2021-09-12,26,5,2
2021-09-13,33,5,11
2021-09-14,22,7,1
2021-09-15,18,3,2
2021-09-16,9,2,1
2021-09-17,6,1,1
2021-09-18,7,1,0
2021-09-19,11,2,2
2021-09-20,11,3,3
2021-09-21,11,1,1
2021-09-22,8,1,0
2021-09-23,8,2,0
2021-09-24,3,2,0
2021-09-25,5,2,0
2021-09-26,3,0,0
2021-09-27,5,2,0
2021-09-28,6,2,1
2021-09-29,8,1,3
2021-09-30,4,2,1
2021-10-01,3,1,0
2021-10-02,4,0,1
2021-10-03,9,2,1
2021-10-04,4,2,0
2021-10-05,8,2,6
2021-10-06,3,0,0
2021-10-07,12,5,2
2021-10-08,14,6,5
2021-10-09,3,0,1
2021-10-10,14,3,3
2021-10-11,11,2,5
2021-10-12,15,4,6
2021-10-13,13,2,5
2021-10-14,8,0,5
2021-10-15,13,1,6
2021-10-16,17,0,7
2021-10-17,12,2,4
2021-10-18,5,0,3
2021-10-19,8,0,3
2021-10-20,8,0,3
