"fecha","CABA","COMUNA 01","COMUNA 03","COMUNA 04","COMUNA 07","COMUNA 08"
2020-03-21,34,2,1,0,0,0
2020-03-22,20,0,0,0,1,0
2020-03-23,40,1,1,0,2,0
2020-03-24,25,0,1,0,0,1
2020-03-25,30,0,0,1,1,0
2020-03-26,27,0,1,0,2,0
2020-03-27,26,0,1,0,2,0
2020-03-28,19,0,0,0,0,1
2020-03-29,22,0,0,0,0,0
2020-03-30,25,0,0,0,1,0
2020-03-31,20,0,0,1,0,0
2020-04-01,31,0,0,2,2,0
2020-04-02,25,0,3,0,1,0
2020-04-03,22,1,0,1,0,1
2020-04-04,27,2,0,1,3,0
2020-04-05,17,1,0,0,0,0
2020-04-06,24,2,0,0,2,1
2020-04-07,19,0,1,2,2,0
2020-04-08,21,2,0,0,0,0
2020-04-09,17,0,0,1,0,0
2020-04-10,27,2,0,1,0,2
2020-04-11,24,1,1,1,2,0
2020-04-12,27,1,0,0,5,1
2020-04-13,23,2,0,0,3,0
2020-04-14,29,2,0,0,3,1
2020-04-15,28,2,0,0,4,0
2020-04-16,44,2,2,0,6,0
2020-04-17,32,3,0,1,3,0
2020-04-18,49,4,2,0,6,0
2020-04-19,49,3,0,1,3,2
2020-04-20,68,9,1,3,2,3
2020-04-21,56,2,1,1,6,1
2020-04-22,62,4,1,4,4,1
2020-04-23,50,5,1,3,6,1
2020-04-24,54,9,0,4,5,0
2020-04-25,44,7,0,1,2,0
2020-04-26,44,6,0,0,3,0
2020-04-27,66,22,2,1,3,0
2020-04-28,57,20,1,0,7,0
2020-04-29,56,18,0,1,4,0
2020-04-30,83,27,1,2,7,0
2020-05-01,119,44,0,3,8,1
2020-05-02,90,30,0,0,11,0
2020-05-03,133,49,1,2,12,3
2020-05-04,119,50,0,0,14,2
2020-05-05,143,52,0,3,15,1
2020-05-06,168,61,0,5,18,2
2020-05-07,171,63,0,8,17,3
2020-05-08,184,88,0,2,24,3
2020-05-09,184,81,0,5,26,1
2020-05-10,211,72,2,6,28,2
2020-05-11,240,65,4,17,41,5
2020-05-12,253,72,4,7,35,3
2020-05-13,279,68,4,12,33,6
2020-05-14,292,77,4,12,38,10
2020-05-15,371,85,7,18,39,8
2020-05-16,291,56,10,18,41,7
2020-05-17,336,73,9,21,41,8
2020-05-18,429,90,10,15,74,8
2020-05-19,342,63,11,25,41,9
2020-05-20,440,71,11,42,74,20
2020-05-21,369,62,7,27,56,14
2020-05-22,399,56,8,26,64,20
2020-05-23,395,67,9,42,63,13
2020-05-24,367,50,9,28,54,18
2020-05-25,440,49,16,28,62,20
2020-05-26,426,58,11,35,52,27
2020-05-27,391,30,11,40,54,24
2020-05-28,408,20,14,39,62,17
2020-05-29,398,34,7,36,52,31
2020-05-30,416,31,18,41,59,21
2020-05-31,390,21,17,36,51,24
2020-06-01,568,29,19,46,87,45
2020-06-02,457,22,17,47,61,40
2020-06-03,479,26,20,47,78,42
2020-06-04,529,23,18,72,67,45
2020-06-05,533,18,20,40,84,32
2020-06-06,565,21,19,53,68,54
2020-06-07,577,23,15,50,51,60
2020-06-08,617,14,13,60,66,81
2020-06-09,568,22,18,54,56,56
2020-06-10,594,18,18,46,51,73
2020-06-11,598,21,17,44,50,82
2020-06-12,677,15,29,55,52,83
2020-06-13,698,13,19,78,50,67
2020-06-14,681,17,20,66,31,65
2020-06-15,793,20,29,88,45,88
2020-06-16,906,27,38,94,47,114
2020-06-17,860,21,28,105,47,98
2020-06-18,890,26,32,97,30,110
2020-06-19,841,29,28,87,37,98
2020-06-20,904,34,29,100,35,113
2020-06-21,837,28,26,98,35,96
2020-06-22,940,26,31,96,64,109
2020-06-23,904,19,35,82,42,104
2020-06-24,833,27,22,87,37,84
2020-06-25,827,30,27,71,31,90
2020-06-26,843,20,25,76,41,97
2020-06-27,840,20,29,91,30,101
2020-06-28,798,16,24,57,24,86
2020-06-29,979,32,30,63,28,94
2020-06-30,919,29,38,62,38,80
2020-07-01,1071,34,38,76,29,95
2020-07-02,971,25,29,78,24,96
2020-07-03,1048,19,46,71,39,85
2020-07-04,959,31,37,58,41,90
2020-07-05,931,14,33,64,21,65
2020-07-06,1039,42,31,62,37,73
2020-07-07,948,23,42,59,38,79
2020-07-08,943,20,41,67,43,66
2020-07-09,966,28,39,48,34,57
2020-07-10,1008,40,52,67,39,57
2020-07-11,1000,33,47,89,38,74
2020-07-12,1046,43,45,87,33,63
2020-07-13,1162,43,56,96,53,93
2020-07-14,1107,53,38,81,50,78
2020-07-15,1156,55,41,98,51,86
2020-07-16,1090,49,39,63,55,82
2020-07-17,1224,48,49,104,50,81
2020-07-18,1121,44,45,82,42,83
2020-07-19,1111,32,40,73,43,68
2020-07-20,1398,47,55,115,63,105
2020-07-21,1106,59,41,68,48,73
2020-07-22,1106,34,42,88,53,72
2020-07-23,1107,43,36,84,44,60
2020-07-24,1044,51,34,65,48,58
2020-07-25,1073,42,35,55,59,54
2020-07-26,1018,35,31,66,51,58
2020-07-27,1180,54,47,91,50,72
2020-07-28,1104,57,38,91,47,66
2020-07-29,1133,54,44,100,51,71
2020-07-30,1168,54,44,75,56,75
2020-07-31,1197,57,62,90,40,89
2020-08-01,1268,53,51,103,46,81
2020-08-02,1213,56,68,94,36,84
2020-08-03,1336,47,55,101,56,106
2020-08-04,1089,52,42,90,46,73
2020-08-05,1128,49,47,68,43,73
2020-08-06,1024,44,43,70,33,58
2020-08-07,1043,31,44,67,39,59
2020-08-08,992,37,49,62,32,48
2020-08-09,945,23,30,45,22,36
2020-08-10,1103,54,49,64,44,47
2020-08-11,991,43,41,63,38,48
2020-08-12,1032,46,49,64,47,56
2020-08-13,1037,45,38,50,34,61
2020-08-14,1014,41,35,69,52,48
2020-08-15,1051,47,57,57,37,59
2020-08-16,1094,44,49,68,30,53
2020-08-17,1205,43,54,73,53,47
2020-08-18,1179,31,49,78,52,47
2020-08-19,1220,48,42,78,39,49
2020-08-20,1184,35,50,56,41,51
2020-08-21,1212,40,46,52,42,47
2020-08-22,1184,42,36,58,28,41
2020-08-23,1297,35,41,56,57,38
2020-08-24,1416,40,51,70,36,43
2020-08-25,1284,37,39,39,44,34
2020-08-26,1258,27,29,54,43,31
2020-08-27,1160,23,25,53,34,31
2020-08-28,1164,32,30,56,41,31
2020-08-29,1097,38,40,40,27,32
2020-08-30,1074,28,24,42,22,28
2020-08-31,1234,36,40,46,38,21
2020-09-01,1117,32,28,35,32,35
2020-09-02,1031,38,18,33,25,17
2020-09-03,1089,28,23,31,26,30
2020-09-04,1068,29,24,38,22,18
2020-09-05,972,31,20,39,28,26
2020-09-06,933,27,29,30,18,16
2020-09-07,1017,32,26,36,29,20
2020-09-08,864,25,27,32,31,20
2020-09-09,752,22,14,21,21,10
2020-09-10,622,15,24,24,16,17
2020-09-11,492,16,14,14,5,10
2020-09-12,362,9,8,12,11,6
2020-09-13,278,6,5,12,11,4
2020-09-14,150,6,6,6,0,1
2020-09-15,37,1,3,4,0,0
