"fecha","San Juan","Capital","Rawson","Chimbas"
2020-05-01,0,0,0,0
2020-05-02,0,0,0,0
2020-05-03,0,0,0,0
2020-05-04,1,1,0,0
2020-05-05,0,0,0,0
2020-05-06,0,0,0,0
2020-05-07,0,0,0,0
2020-05-08,0,0,0,0
2020-05-09,0,0,0,0
2020-05-10,0,0,0,0
2020-05-11,0,0,0,0
2020-05-12,0,0,0,0
2020-05-13,0,0,0,0
2020-05-14,0,0,0,0
2020-05-15,1,0,0,0
2020-05-16,0,0,0,0
2020-05-17,1,0,1,0
2020-05-18,1,1,0,0
2020-05-19,0,0,0,0
2020-05-20,0,0,0,0
2020-05-21,0,0,0,0
2020-05-22,0,0,0,0
2020-05-23,0,0,0,0
2020-05-24,0,0,0,0
2020-05-25,0,0,0,0
2020-05-26,0,0,0,0
2020-05-27,0,0,0,0
2020-05-28,0,0,0,0
2020-05-29,0,0,0,0
2020-05-30,0,0,0,0
2020-05-31,0,0,0,0
2020-06-01,0,0,0,0
2020-06-02,0,0,0,0
2020-06-03,0,0,0,0
2020-06-04,0,0,0,0
2020-06-05,0,0,0,0
2020-06-06,1,1,0,0
2020-06-07,0,0,0,0
2020-06-08,1,0,0,0
2020-06-09,0,0,0,0
2020-06-10,0,0,0,0
2020-06-11,0,0,0,0
2020-06-12,0,0,0,0
2020-06-13,0,0,0,0
2020-06-14,2,0,0,0
2020-06-15,0,0,0,0
2020-06-16,0,0,0,0
2020-06-17,2,0,1,0
2020-06-18,0,0,0,0
2020-06-19,0,0,0,0
2020-06-20,1,0,0,0
2020-06-21,0,0,0,0
2020-06-22,0,0,0,0
2020-06-23,1,0,0,0
2020-06-24,0,0,0,0
2020-06-25,0,0,0,0
2020-06-26,0,0,0,0
2020-06-27,0,0,0,0
2020-06-28,0,0,0,0
2020-06-29,0,0,0,0
2020-06-30,0,0,0,0
2020-07-01,0,0,0,0
2020-07-02,0,0,0,0
2020-07-03,0,0,0,0
2020-07-04,0,0,0,0
2020-07-05,0,0,0,0
2020-07-06,0,0,0,0
2020-07-07,2,0,0,1
2020-07-08,2,0,0,2
2020-07-09,0,0,0,0
2020-07-10,1,0,0,1
2020-07-11,2,0,0,0
2020-07-12,1,0,0,0
2020-07-13,0,0,0,0
2020-07-14,1,0,0,0
2020-07-15,0,0,0,0
2020-07-16,0,0,0,0
2020-07-17,0,0,0,0
2020-07-18,1,0,0,0
2020-07-19,1,0,1,0
2020-07-20,1,0,0,0
2020-07-21,2,0,0,0
2020-07-22,0,0,0,0
2020-07-23,1,0,0,0
2020-07-24,0,0,0,0
2020-07-25,0,0,0,0
2020-07-26,0,0,0,0
2020-07-27,0,0,0,0
2020-07-28,0,0,0,0
2020-07-29,0,0,0,0
2020-07-30,1,0,1,0
2020-07-31,0,0,0,0
2020-08-01,0,0,0,0
2020-08-02,2,0,0,0
2020-08-03,1,0,0,0
2020-08-04,0,0,0,0
2020-08-05,0,0,0,0
2020-08-06,0,0,0,0
2020-08-07,1,0,0,0
2020-08-08,1,0,1,0
2020-08-09,1,0,0,0
2020-08-10,1,0,0,0
2020-08-11,0,0,0,0
2020-08-12,2,0,0,0
2020-08-13,1,0,0,1
2020-08-14,7,2,0,0
2020-08-15,4,1,0,0
2020-08-16,2,1,0,0
2020-08-17,8,0,1,0
2020-08-18,17,2,2,0
2020-08-19,24,2,2,1
2020-08-20,29,6,2,2
2020-08-21,20,1,2,0
2020-08-22,17,3,2,0
2020-08-23,27,6,3,0
2020-08-24,29,3,3,1
2020-08-25,25,2,4,0
2020-08-26,19,1,3,1
2020-08-27,25,5,3,0
2020-08-28,31,7,5,0
2020-08-29,18,4,5,2
2020-08-30,16,2,1,0
2020-08-31,14,0,3,1
2020-09-01,26,7,1,0
2020-09-02,15,2,4,0
2020-09-03,11,1,0,0
2020-09-04,6,1,2,0
2020-09-05,7,2,1,1
2020-09-06,13,3,2,1
2020-09-07,11,1,2,1
2020-09-08,7,1,1,2
2020-09-09,13,2,2,2
2020-09-10,9,3,1,0
2020-09-11,7,3,1,0
2020-09-12,6,2,2,0
2020-09-13,12,2,3,0
2020-09-14,10,1,2,1
2020-09-15,10,3,4,0
2020-09-16,15,2,6,1
2020-09-17,13,1,1,1
2020-09-18,23,6,4,3
2020-09-19,13,5,2,1
2020-09-20,26,6,7,1
2020-09-21,20,2,4,1
2020-09-22,17,2,3,5
2020-09-23,27,2,3,6
2020-09-24,30,6,5,6
2020-09-25,56,5,6,6
2020-09-26,43,0,5,4
2020-09-27,56,6,0,6
2020-09-28,40,2,1,4
2020-09-29,63,4,3,3
2020-09-30,64,4,4,6
2020-10-01,48,5,5,5
2020-10-02,42,6,6,6
2020-10-03,33,4,9,5
2020-10-04,40,6,8,3
2020-10-05,37,8,11,2
2020-10-06,37,5,8,4
2020-10-07,40,8,8,4
2020-10-08,28,8,5,1
2020-10-09,24,6,3,4
2020-10-10,42,14,10,5
2020-10-11,21,7,2,3
2020-10-12,35,9,5,5
2020-10-13,27,7,4,4
2020-10-14,39,7,3,4
2020-10-15,43,12,14,1
2020-10-16,58,19,17,6
2020-10-17,48,14,13,7
2020-10-18,58,12,16,8
2020-10-19,81,19,25,6
2020-10-20,100,21,19,16
2020-10-21,126,36,21,13
2020-10-22,143,27,21,23
2020-10-23,318,83,48,70
2020-10-24,315,66,63,54
2020-10-25,358,80,83,61
2020-10-26,396,92,79,64
2020-10-27,344,92,57,44
2020-10-28,222,53,31,29
2020-10-29,370,82,132,35
2020-10-30,338,69,73,43
2020-10-31,236,54,67,30
2020-11-01,264,53,68,43
2020-11-02,189,45,49,23
2020-11-03,206,52,54,28
2020-11-04,208,53,56,29
2020-11-05,135,33,40,13
2020-11-06,205,41,59,17
2020-11-07,119,22,26,15
2020-11-08,114,23,26,11
2020-11-09,157,37,33,24
2020-11-10,152,43,36,10
2020-11-11,115,14,45,8
2020-11-12,141,22,50,4
2020-11-13,128,27,37,16
2020-11-14,89,15,36,4
2020-11-15,118,22,40,6
2020-11-16,130,25,49,8
2020-11-17,121,24,44,8
2020-11-18,142,19,46,10
2020-11-19,116,16,41,5
2020-11-20,96,14,32,8
2020-11-21,102,21,32,9
2020-11-22,126,27,27,15
2020-11-23,139,27,34,14
2020-11-24,139,31,30,11
2020-11-25,147,31,27,13
2020-11-26,147,18,37,19
2020-11-27,116,19,20,10
2020-11-28,104,17,18,9
2020-11-29,128,23,24,22
2020-11-30,109,15,30,15
2020-12-01,125,26,30,18
2020-12-02,111,24,20,19
2020-12-03,93,17,24,12
2020-12-04,80,10,25,10
2020-12-05,63,6,17,6
2020-12-06,89,13,37,12
2020-12-07,92,12,25,13
2020-12-08,128,32,30,11
2020-12-09,118,26,24,13
2020-12-10,126,32,20,20
2020-12-11,108,18,24,15
2020-12-12,113,20,26,14
2020-12-13,94,28,18,9
2020-12-14,138,30,31,19
2020-12-15,99,17,29,10
2020-12-16,98,20,18,10
2020-12-17,64,8,15,12
2020-12-18,83,15,21,12
2020-12-19,63,18,7,14
2020-12-20,79,17,18,7
2020-12-21,126,28,25,14
2020-12-22,90,10,26,11
2020-12-23,95,22,20,10
2020-12-24,78,22,18,14
2020-12-25,88,21,25,12
2020-12-26,98,25,17,19
2020-12-27,114,30,30,13
2020-12-28,95,19,25,9
2020-12-29,86,21,16,9
2020-12-30,93,28,13,5
2020-12-31,91,29,28,8
2021-01-01,84,22,20,5
2021-01-02,106,25,26,20
2021-01-03,94,14,27,10
2021-01-04,165,32,37,19
2021-01-05,101,14,32,8
2021-01-06,125,19,33,12
2021-01-07,104,20,27,15
2021-01-08,76,15,18,9
2021-01-09,87,21,17,12
2021-01-10,83,16,23,11
2021-01-11,126,19,24,15
2021-01-12,74,14,14,8
2021-01-13,93,20,22,9
2021-01-14,74,17,18,9
2021-01-15,60,14,14,4
2021-01-16,61,14,14,5
2021-01-17,46,9,13,7
2021-01-18,65,18,12,5
2021-01-19,59,12,15,1
2021-01-20,63,12,17,5
2021-01-21,63,14,10,5
2021-01-22,53,15,6,3
2021-01-23,51,13,3,8
2021-01-24,47,5,10,7
2021-01-25,71,25,6,10
2021-01-26,62,9,15,6
2021-01-27,54,11,10,4
2021-01-28,63,17,7,8
2021-01-29,53,12,6,4
2021-01-30,40,7,9,6
2021-01-31,32,3,13,2
2021-02-01,60,12,9,12
2021-02-02,57,12,8,13
2021-02-03,62,9,13,7
2021-02-04,54,14,9,4
2021-02-05,72,23,13,9
2021-02-06,32,4,7,3
2021-02-07,27,10,5,2
2021-02-08,49,15,6,7
2021-02-09,67,16,10,8
2021-02-10,64,21,11,6
2021-02-11,42,12,9,2
2021-02-12,34,13,7,1
2021-02-13,41,9,13,2
2021-02-14,41,12,8,3
2021-02-15,53,18,12,1
2021-02-16,44,10,17,1
2021-02-17,80,23,16,5
2021-02-18,67,17,12,6
2021-02-19,49,13,11,5
2021-02-20,52,15,8,8
2021-02-21,28,6,7,3
2021-02-22,78,20,14,6
2021-02-23,54,13,9,5
2021-02-24,46,5,8,8
2021-02-25,52,9,8,9
2021-02-26,45,9,8,1
2021-02-27,30,11,6,3
2021-02-28,36,12,6,3
2021-03-01,51,10,16,8
2021-03-02,66,11,11,8
2021-03-03,54,13,15,5
2021-03-04,44,6,13,5
2021-03-05,52,20,11,4
2021-03-06,38,6,10,5
2021-03-07,31,10,9,4
2021-03-08,53,13,5,7
2021-03-09,53,14,9,6
2021-03-10,62,14,10,8
2021-03-11,64,15,14,2
2021-03-12,60,22,7,2
2021-03-13,58,13,11,6
2021-03-14,46,18,11,1
2021-03-15,87,28,7,4
2021-03-16,62,17,7,6
2021-03-17,54,12,7,4
2021-03-18,79,17,14,4
2021-03-19,68,20,9,11
2021-03-20,76,22,9,6
2021-03-21,59,17,9,3
2021-03-22,131,49,14,16
2021-03-23,117,37,14,12
2021-03-24,80,26,16,8
2021-03-25,156,46,17,26
2021-03-26,89,38,12,8
2021-03-27,82,26,14,7
2021-03-28,107,42,15,9
2021-03-29,138,42,10,12
2021-03-30,106,29,14,10
2021-03-31,153,36,19,16
2021-04-01,145,40,24,15
2021-04-02,114,32,17,11
2021-04-03,171,50,20,29
2021-04-04,166,46,26,10
2021-04-05,307,78,30,55
2021-04-06,270,73,33,36
2021-04-07,186,47,31,9
2021-04-08,169,39,21,22
2021-04-09,192,38,17,26
2021-04-10,201,50,37,19
2021-04-11,205,48,34,19
2021-04-12,265,55,35,30
2021-04-13,242,47,40,27
2021-04-14,232,51,21,22
2021-04-15,257,56,39,24
2021-04-16,235,51,31,27
2021-04-17,273,69,48,40
2021-04-18,277,65,41,39
2021-04-19,350,61,50,44
2021-04-20,323,66,44,36
2021-04-21,291,56,43,41
2021-04-22,262,39,51,31
2021-04-23,247,47,40,36
2021-04-24,223,43,41,23
2021-04-25,353,76,57,37
2021-04-26,429,93,66,57
2021-04-27,356,56,56,43
2021-04-28,269,35,47,22
2021-04-29,286,55,51,38
2021-04-30,284,40,41,38
2021-05-01,201,26,32,26
2021-05-02,325,64,49,41
2021-05-03,375,83,53,46
2021-05-04,379,63,59,59
2021-05-05,405,80,84,49
2021-05-06,337,51,60,45
2021-05-07,376,62,62,53
2021-05-08,303,36,75,40
2021-05-09,343,48,90,36
2021-05-10,648,117,113,87
2021-05-11,615,111,136,79
2021-05-12,658,126,130,87
2021-05-13,489,94,84,71
2021-05-14,533,88,88,74
2021-05-15,333,58,73,34
2021-05-16,366,69,67,63
2021-05-17,619,106,93,74
2021-05-18,546,93,83,89
2021-05-19,525,77,100,49
2021-05-20,437,59,81,43
2021-05-21,372,62,71,28
2021-05-22,225,21,63,17
2021-05-23,230,19,46,21
2021-05-24,406,73,73,63
2021-05-25,377,100,65,49
2021-05-26,211,53,49,14
2021-05-27,185,46,37,15
2021-05-28,78,14,12,8
2021-05-29,57,6,10,3
2021-05-30,12,1,0,1
