"fecha","Corrientes","Capital","Goya","Santo Tomé"
2020-03-18,0,0,0,0
2020-03-19,1,1,0,0
2020-03-20,3,3,0,0
2020-03-21,3,3,0,0
2020-03-22,2,2,0,0
2020-03-23,1,1,0,0
2020-03-24,3,3,0,0
2020-03-25,2,2,0,0
2020-03-26,4,4,0,0
2020-03-27,3,3,0,0
2020-03-28,1,1,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,0,0,0,0
2020-04-01,1,1,0,0
2020-04-02,1,1,0,0
2020-04-03,5,5,0,0
2020-04-04,8,7,0,0
2020-04-05,6,5,0,0
2020-04-06,1,1,0,0
2020-04-07,5,5,0,0
2020-04-08,7,5,0,0
2020-04-09,5,4,0,0
2020-04-10,6,5,0,0
2020-04-11,3,2,0,0
2020-04-12,1,1,0,0
2020-04-13,1,1,0,0
2020-04-14,1,0,0,0
2020-04-15,1,0,0,0
2020-04-16,0,0,0,0
2020-04-17,4,4,0,0
2020-04-18,1,1,0,0
2020-04-19,3,3,0,0
2020-04-20,2,1,0,0
2020-04-21,4,4,0,0
2020-04-22,4,2,0,0
2020-04-23,4,4,0,0
2020-04-24,0,0,0,0
2020-04-25,0,0,0,0
2020-04-26,1,0,0,0
2020-04-27,0,0,0,0
2020-04-28,1,0,0,0
2020-04-29,4,3,0,0
2020-04-30,0,0,0,0
2020-05-01,2,1,1,0
2020-05-02,1,0,0,0
2020-05-03,4,1,0,0
2020-05-04,8,4,0,0
2020-05-05,9,4,0,0
2020-05-06,6,3,0,0
2020-05-07,6,5,0,0
2020-05-08,2,0,0,0
2020-05-09,6,2,0,0
2020-05-10,9,4,0,1
2020-05-11,4,3,0,0
2020-05-12,6,4,0,0
2020-05-13,6,6,0,0
2020-05-14,5,5,0,0
2020-05-15,4,4,0,0
2020-05-16,1,1,0,0
2020-05-17,7,7,0,0
2020-05-18,5,5,0,0
2020-05-19,5,4,0,0
2020-05-20,5,5,0,0
2020-05-21,3,3,0,0
2020-05-22,4,4,0,0
2020-05-23,8,7,0,0
2020-05-24,8,7,0,0
2020-05-25,11,10,0,0
2020-05-26,8,6,0,0
2020-05-27,6,5,0,0
2020-05-28,2,2,0,0
2020-05-29,9,3,0,0
2020-05-30,4,1,0,0
2020-05-31,5,3,0,0
2020-06-01,2,1,0,0
2020-06-02,2,1,0,0
2020-06-03,0,0,0,0
2020-06-04,3,3,0,0
2020-06-05,1,1,0,0
2020-06-06,0,0,0,0
2020-06-07,0,0,0,0
2020-06-08,4,1,0,0
2020-06-09,3,3,0,0
2020-06-10,3,1,0,0
2020-06-11,1,0,0,0
2020-06-12,2,0,0,0
2020-06-13,2,2,0,0
2020-06-14,3,1,0,0
2020-06-15,3,2,0,0
2020-06-16,1,1,0,0
2020-06-17,1,1,0,0
2020-06-18,1,0,0,0
2020-06-19,0,0,0,0
2020-06-20,1,0,0,0
2020-06-21,1,1,0,0
2020-06-22,1,1,0,0
2020-06-23,2,1,1,0
2020-06-24,2,1,0,0
2020-06-25,0,0,0,0
2020-06-26,0,0,0,0
2020-06-27,0,0,0,0
2020-06-28,2,2,0,0
2020-06-29,2,2,0,0
2020-06-30,1,1,0,0
2020-07-01,3,3,0,0
2020-07-02,1,0,0,0
2020-07-03,1,0,0,0
2020-07-04,2,2,0,0
2020-07-05,3,1,0,0
2020-07-06,4,1,0,0
2020-07-07,1,1,0,0
2020-07-08,4,3,1,0
2020-07-09,2,1,0,0
2020-07-10,2,0,0,0
2020-07-11,1,1,0,0
2020-07-12,2,1,0,0
2020-07-13,0,0,0,0
2020-07-14,1,0,0,0
2020-07-15,1,1,0,0
2020-07-16,1,1,0,0
2020-07-17,2,2,0,0
2020-07-18,0,0,0,0
2020-07-19,4,2,0,0
2020-07-20,6,2,0,0
2020-07-21,5,1,0,0
2020-07-22,3,1,0,0
2020-07-23,11,2,0,0
2020-07-24,8,0,0,0
2020-07-25,8,2,0,0
2020-07-26,6,1,0,0
2020-07-27,4,1,0,0
2020-07-28,7,2,0,0
2020-07-29,5,1,0,0
2020-07-30,6,4,0,0
2020-07-31,9,6,0,0
2020-08-01,3,0,0,0
2020-08-02,4,4,0,0
2020-08-03,6,6,0,0
2020-08-04,10,8,0,0
2020-08-05,7,5,0,0
2020-08-06,7,4,0,0
2020-08-07,7,1,0,0
2020-08-08,8,4,0,0
2020-08-09,3,2,0,0
2020-08-10,10,5,0,0
2020-08-11,7,2,0,0
2020-08-12,5,1,1,0
2020-08-13,2,2,0,0
2020-08-14,3,1,0,0
2020-08-15,5,1,0,0
2020-08-16,6,5,0,0
2020-08-17,9,2,0,0
2020-08-18,5,4,0,0
2020-08-19,5,2,0,0
2020-08-20,7,2,0,0
2020-08-21,10,3,0,0
2020-08-22,7,2,0,0
2020-08-23,12,5,0,0
2020-08-24,11,3,0,1
2020-08-25,13,8,0,0
2020-08-26,15,9,0,1
2020-08-27,14,12,0,0
2020-08-28,21,15,1,0
2020-08-29,24,13,0,0
2020-08-30,22,22,0,0
2020-08-31,26,22,0,0
2020-09-01,26,22,0,2
2020-09-02,39,33,1,0
2020-09-03,37,30,0,2
2020-09-04,38,33,0,0
2020-09-05,39,33,0,1
2020-09-06,29,24,1,0
2020-09-07,35,25,1,3
2020-09-08,35,27,0,0
2020-09-09,56,37,1,1
2020-09-10,50,28,0,0
2020-09-11,43,29,0,1
2020-09-12,36,23,0,1
2020-09-13,48,26,0,1
2020-09-14,40,21,0,2
2020-09-15,31,10,1,1
2020-09-16,49,29,0,0
2020-09-17,29,15,0,0
2020-09-18,26,17,0,0
2020-09-19,26,19,0,0
2020-09-20,25,19,0,1
2020-09-21,29,22,2,1
2020-09-22,35,25,1,2
2020-09-23,24,16,0,0
2020-09-24,37,25,0,0
2020-09-25,22,18,0,0
2020-09-26,37,28,1,0
2020-09-27,39,34,1,0
2020-09-28,38,33,0,0
2020-09-29,56,44,1,0
2020-09-30,36,32,0,0
2020-10-01,52,41,1,0
2020-10-02,44,39,0,1
2020-10-03,53,37,0,1
2020-10-04,47,33,0,0
2020-10-05,39,27,0,1
2020-10-06,56,42,1,2
2020-10-07,59,47,1,1
2020-10-08,77,58,2,0
2020-10-09,56,41,0,1
2020-10-10,59,43,0,1
2020-10-11,57,45,0,1
2020-10-12,51,36,1,1
2020-10-13,53,28,0,0
2020-10-14,45,33,1,0
2020-10-15,44,28,1,1
2020-10-16,45,35,0,0
2020-10-17,41,32,1,0
2020-10-18,49,37,0,0
2020-10-19,41,35,1,0
2020-10-20,48,34,3,0
2020-10-21,60,43,1,1
2020-10-22,48,32,2,0
2020-10-23,53,33,3,0
2020-10-24,32,22,0,0
2020-10-25,54,24,1,0
2020-10-26,31,20,2,1
2020-10-27,24,14,3,0
2020-10-28,27,18,0,0
2020-10-29,41,37,1,0
2020-10-30,45,35,0,0
2020-10-31,56,43,1,1
2020-11-01,67,51,1,3
2020-11-02,81,69,1,2
2020-11-03,87,69,0,2
2020-11-04,74,56,0,1
2020-11-05,99,80,0,1
2020-11-06,124,103,3,1
2020-11-07,91,76,3,1
2020-11-08,109,83,2,0
2020-11-09,123,102,1,0
2020-11-10,193,161,2,0
2020-11-11,187,148,3,0
2020-11-12,259,210,1,0
2020-11-13,218,181,1,0
2020-11-14,205,166,3,0
2020-11-15,188,151,3,1
2020-11-16,198,158,3,1
2020-11-17,163,129,7,2
2020-11-18,109,86,1,0
2020-11-19,117,93,4,0
2020-11-20,166,136,1,2
2020-11-21,251,197,3,4
2020-11-22,275,225,4,1
2020-11-23,282,217,2,5
2020-11-24,315,255,5,2
2020-11-25,336,264,2,1
2020-11-26,332,263,4,2
2020-11-27,322,262,1,1
2020-11-28,288,230,5,0
2020-11-29,234,197,0,4
2020-11-30,193,161,1,0
2020-12-01,180,144,3,0
2020-12-02,176,139,3,0
2020-12-03,144,99,2,3
2020-12-04,101,71,0,2
2020-12-05,115,80,1,2
2020-12-06,113,78,1,5
2020-12-07,118,84,0,0
2020-12-08,103,67,1,0
2020-12-09,157,121,0,2
2020-12-10,132,103,1,2
2020-12-11,86,60,2,1
2020-12-12,125,87,0,3
2020-12-13,138,98,3,0
2020-12-14,149,114,3,0
2020-12-15,155,124,1,0
2020-12-16,144,115,0,0
2020-12-17,132,111,1,0
2020-12-18,149,122,1,0
2020-12-19,173,137,1,0
2020-12-20,113,88,1,1
2020-12-21,126,95,1,4
2020-12-22,131,100,0,0
2020-12-23,96,74,0,1
2020-12-24,115,94,2,1
2020-12-25,98,75,1,0
2020-12-26,120,86,0,0
2020-12-27,94,58,1,0
2020-12-28,100,65,0,0
2020-12-29,128,83,1,2
2020-12-30,117,71,2,1
2020-12-31,178,127,0,3
2021-01-01,175,106,4,2
2021-01-02,178,119,2,1
2021-01-03,233,158,5,0
2021-01-04,225,148,7,1
2021-01-05,241,166,3,1
2021-01-06,291,205,3,1
2021-01-07,259,167,5,2
2021-01-08,188,105,7,1
2021-01-09,201,131,3,1
2021-01-10,210,121,5,3
2021-01-11,216,129,9,3
2021-01-12,177,103,2,2
2021-01-13,150,73,2,2
2021-01-14,135,78,4,1
2021-01-15,132,68,6,1
2021-01-16,142,78,5,7
2021-01-17,135,78,3,5
2021-01-18,159,92,6,5
2021-01-19,156,89,4,2
2021-01-20,172,122,1,5
2021-01-21,163,95,2,3
2021-01-22,150,81,2,3
2021-01-23,122,71,1,1
2021-01-24,158,95,4,3
2021-01-25,176,107,5,4
2021-01-26,163,98,3,7
2021-01-27,199,132,4,7
2021-01-28,191,126,6,9
2021-01-29,188,135,6,3
2021-01-30,195,122,3,7
2021-01-31,187,128,1,6
2021-02-01,193,137,4,10
2021-02-02,176,119,4,7
2021-02-03,154,107,3,4
2021-02-04,115,65,3,5
2021-02-05,99,71,1,2
2021-02-06,86,50,3,5
2021-02-07,100,64,0,2
2021-02-08,187,108,2,7
2021-02-09,166,111,6,1
2021-02-10,172,119,4,2
2021-02-11,205,140,1,4
2021-02-12,192,120,4,2
2021-02-13,219,141,5,6
2021-02-14,232,150,5,7
2021-02-15,196,120,6,5
2021-02-16,124,74,10,5
2021-02-17,127,67,5,5
2021-02-18,127,64,6,12
2021-02-19,126,61,11,11
2021-02-20,128,61,8,11
2021-02-21,106,56,7,8
2021-02-22,127,65,4,10
2021-02-23,167,84,6,18
2021-02-24,189,96,10,18
2021-02-25,176,79,8,15
2021-02-26,153,85,4,12
2021-02-27,159,82,15,7
2021-02-28,189,98,15,14
2021-03-01,225,99,21,13
2021-03-02,225,101,24,10
2021-03-03,240,97,19,12
2021-03-04,242,98,26,13
2021-03-05,275,120,26,15
2021-03-06,245,91,21,14
2021-03-07,208,87,11,10
2021-03-08,246,104,25,8
2021-03-09,217,103,23,8
2021-03-10,222,120,12,12
2021-03-11,251,129,21,11
2021-03-12,270,131,24,11
2021-03-13,213,114,19,7
2021-03-14,243,120,17,2
2021-03-15,246,120,13,12
2021-03-16,246,134,16,12
2021-03-17,276,152,19,8
2021-03-18,275,131,15,14
2021-03-19,280,140,20,19
2021-03-20,281,140,10,29
2021-03-21,277,139,17,30
2021-03-22,337,172,25,28
2021-03-23,366,200,27,46
2021-03-24,431,219,17,48
2021-03-25,370,182,23,42
2021-03-26,383,190,25,34
2021-03-27,314,133,17,29
2021-03-28,294,148,17,29
2021-03-29,312,131,23,31
2021-03-30,235,80,23,20
2021-03-31,310,112,27,30
2021-04-01,269,82,29,20
2021-04-02,255,84,28,13
2021-04-03,261,101,26,21
2021-04-04,278,92,33,25
2021-04-05,359,134,53,19
2021-04-06,335,106,53,25
2021-04-07,286,81,53,19
2021-04-08,235,83,44,9
2021-04-09,241,65,49,22
2021-04-10,206,48,36,11
2021-04-11,173,37,32,15
2021-04-12,251,65,51,17
2021-04-13,208,52,36,20
2021-04-14,240,53,41,20
2021-04-15,240,52,45,17
2021-04-16,248,78,33,16
2021-04-17,276,72,35,17
2021-04-18,254,65,37,16
2021-04-19,276,72,41,18
2021-04-20,264,77,33,17
2021-04-21,248,59,20,26
2021-04-22,244,69,33,20
2021-04-23,200,59,19,13
2021-04-24,165,49,13,13
2021-04-25,155,50,15,6
2021-04-26,180,65,17,14
2021-04-27,185,59,13,16
2021-04-28,180,67,23,8
2021-04-29,198,67,23,14
2021-04-30,197,67,23,13
2021-05-01,257,114,19,16
2021-05-02,172,72,19,17
2021-05-03,189,71,17,17
2021-05-04,223,83,26,12
2021-05-05,238,98,22,16
2021-05-06,234,94,21,20
2021-05-07,201,80,14,13
2021-05-08,237,88,18,12
2021-05-09,225,97,24,8
2021-05-10,347,160,24,22
2021-05-11,381,177,35,22
2021-05-12,367,158,36,26
2021-05-13,412,188,46,18
2021-05-14,911,382,80,68
2021-05-15,949,420,87,61
2021-05-16,955,406,113,70
2021-05-17,941,406,95,71
2021-05-18,939,410,107,63
2021-05-19,887,436,77,53
2021-05-20,899,440,98,55
2021-05-21,880,439,92,48
2021-05-22,500,283,30,28
2021-05-23,473,282,29,23
2021-05-24,523,318,31,22
2021-05-25,525,291,41,22
2021-05-26,520,295,43,22
2021-05-27,491,253,39,19
2021-05-28,510,264,41,26
2021-05-29,447,235,38,24
2021-05-30,445,236,37,25
2021-05-31,496,256,35,24
2021-06-01,564,297,46,31
2021-06-02,532,273,40,29
2021-06-03,465,225,42,25
2021-06-04,429,224,33,17
2021-06-05,391,199,42,19
2021-06-06,404,215,34,20
2021-06-07,444,248,27,16
2021-06-08,368,193,29,13
2021-06-09,370,193,34,15
2021-06-10,389,183,40,8
2021-06-11,411,204,43,15
2021-06-12,474,248,38,21
2021-06-13,443,209,38,11
2021-06-14,491,218,52,15
2021-06-15,498,232,41,18
2021-06-16,465,195,51,19
2021-06-17,507,211,56,20
2021-06-18,533,242,45,19
2021-06-19,522,247,51,17
2021-06-20,558,263,62,23
2021-06-21,526,216,61,18
2021-06-22,517,206,71,25
2021-06-23,523,262,67,13
2021-06-24,548,247,86,17
2021-06-25,454,209,64,23
2021-06-26,432,192,62,20
2021-06-27,415,171,55,16
2021-06-28,523,261,60,17
2021-06-29,442,209,60,11
2021-06-30,447,221,50,22
2021-07-01,454,210,78,14
2021-07-02,405,199,63,13
2021-07-03,443,223,48,9
2021-07-04,409,210,43,6
2021-07-05,455,204,51,13
2021-07-06,443,215,48,16
2021-07-07,499,244,54,19
2021-07-08,537,230,65,20
2021-07-09,528,256,55,13
2021-07-10,505,255,49,22
2021-07-11,484,251,45,20
2021-07-12,498,240,40,29
2021-07-13,494,241,35,14
2021-07-14,495,265,47,18
2021-07-15,475,238,36,29
2021-07-16,476,259,45,22
2021-07-17,427,227,38,21
2021-07-18,421,249,36,12
2021-07-19,462,260,37,30
2021-07-20,478,262,42,7
2021-07-21,443,222,41,25
2021-07-22,452,239,42,15
2021-07-23,475,253,30,25
2021-07-24,497,259,33,12
2021-07-25,425,216,22,18
2021-07-26,425,212,28,11
2021-07-27,347,183,20,13
2021-07-28,264,128,21,15
2021-07-29,448,215,44,13
2021-07-30,504,241,42,15
2021-07-31,499,272,30,14
2021-08-01,537,294,41,18
2021-08-02,538,281,47,14
2021-08-03,609,320,52,20
2021-08-04,784,404,62,34
2021-08-05,815,385,76,28
2021-08-06,622,269,49,30
2021-08-07,445,219,24,25
2021-08-08,453,202,45,14
2021-08-09,399,168,32,17
2021-08-10,319,146,32,14
2021-08-11,284,127,20,9
2021-08-12,61,30,1,5
2021-08-13,17,8,0,2
2021-08-14,16,4,1,3
2021-08-15,10,2,1,3
2021-08-16,12,5,0,0
2021-08-17,6,3,0,0
2021-08-18,7,2,1,0
2021-08-19,13,5,1,0
2021-08-20,11,4,1,1
2021-08-21,5,4,0,0
2021-08-22,16,11,1,1
2021-08-23,93,35,9,4
2021-08-24,132,57,11,7
2021-08-25,131,60,17,10
2021-08-26,166,67,22,6
2021-08-27,133,59,17,6
2021-08-28,130,49,21,9
2021-08-29,169,66,21,9
2021-08-30,194,71,28,12
2021-08-31,110,38,29,7
2021-09-01,99,45,19,4
2021-09-02,102,36,24,8
2021-09-03,103,39,23,8
2021-09-04,101,41,15,9
2021-09-05,110,53,23,4
2021-09-06,103,34,32,5
2021-09-07,87,32,24,6
2021-09-08,81,30,21,2
2021-09-09,72,23,20,4
2021-09-10,64,23,20,1
2021-09-11,56,20,12,6
2021-09-12,56,18,18,4
2021-09-13,74,16,22,8
2021-09-14,68,22,20,6
2021-09-15,55,20,10,2
2021-09-16,108,42,24,7
2021-09-17,92,30,32,8
2021-09-18,68,23,20,1
2021-09-19,91,36,23,2
2021-09-20,97,35,16,4
2021-09-21,87,36,14,4
2021-09-22,98,49,12,6
2021-09-23,83,30,18,6
2021-09-24,50,20,10,2
2021-09-25,43,12,11,0
2021-09-26,54,16,10,1
2021-09-27,52,13,14,1
2021-09-28,38,12,8,2
2021-09-29,27,6,6,1
2021-09-30,13,7,3,0
2021-10-01,6,2,0,1
